GENUS,FAMILY,STATUS,URL
Acanthoscyphus,Polygonaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Acanthoscyphus/
Acanthosicyos,Cucurbitaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Acanthosicyos/
Acanthospermum,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acanthospermum/
Acanthostachys,Bromeliaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Bromeliaceae/Acanthostachys/
Acanthostyles,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acanthostyles/
Acanthosyris,Santalaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Santalaceae/Acanthosyris/
Acanthothamnus,Celastraceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Celastraceae/Acanthothamnus/
Acanthura,Acanthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthura/
Acanthus,Acanthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Acanthus/
Acareosperma,Vitaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Vitaceae/Acareosperma/
Acaulimalva,Malvaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Acaulimalva/
Acaulon,Pottiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Pottiaceae/Acaulon/
Acaulonopsis,Pottiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Pottiaceae/Acaulonopsis/
Acca,Myrtaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Acca/
Accara,Myrtaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Accara/
Acentra,Violaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Violaceae/Acentra/
Acer,Sapindaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Acer/
Aceratium,Elaeocarpaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Elaeocarpaceae/Aceratium/
Acharia,Achariaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Achariaceae/Acharia/
Achatocarpus,Achatocarpaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Achatocarpaceae/Achatocarpus/
Achetaria,Plantaginaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Achetaria/
Achillea,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achillea/
Achimenantha,Gesneriaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Achimenantha/
Achimenes,Gesneriaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Achimenes/
Achlyphila,Xyridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Xyridaceae/Achlyphila/
Achlys,Berberidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Berberidaceae/Achlys/
Achnatherum,Poaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Achnatherum/
Achnophora,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achnophora/
Achnopogon,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achnopogon/
Achrophyllum,Hookeriaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Hookeriaceae/Achrophyllum/
Achuaria,Rutaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Achuaria/
Achudemia,Urticaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Urticaceae/Achudemia/
Achyrachaena,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achyrachaena/
Achyranthes,Amaranthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Achyranthes/
Achyrocalyx,Acanthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Achyrocalyx/
Achyrocline,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achyrocline/
Achyronia,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Achyronia/
Achyronychia,Caryophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Achyronychia/
Achyropappus,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achyropappus/
Achyrophorus,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Achyrophorus/
Achyrophyllum,Ptychomniaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Ptychomniaceae/Achyrophyllum/
Achyropsis,Amaranthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Achyropsis/
Achyrospermum,Lamiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Achyrospermum/
Aciachne,Poaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Aciachne/
Acianthera,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acianthera/
Acianthus,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acianthus/
Acicarpha,Calyceraceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Calyceraceae/Acicarpha/
Acidanthera,Iridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Iridaceae/Acidanthera/
Acidocroton,Euphorbiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Acidocroton/
Acidodontium,Bryaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Bryaceae/Acidodontium/
Acidonia,Proteaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Proteaceae/Acidonia/
Acidosasa,Poaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acidosasa/
Acidoton,Euphorbiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Acidoton/
Acilepidopsis,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acilepidopsis/
Acilepis,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acilepis/
Acineta,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acineta/
Acinodendron,Melastomataceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acinodendron/
Acinos,Lamiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acinos/
Acioa,Chrysobalanaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Chrysobalanaceae/Acioa/
Aciotis,Melastomataceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Aciotis/
Aciphylla,Apiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Aciphylla/
Acis,Amaryllidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Amaryllidaceae/Acis/
Acisanthera,Melastomataceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Acisanthera/
Acleisanthes,Nyctaginaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Nyctaginaceae/Acleisanthes/
Acmadenia,Rutaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Acmadenia/
Acmanthera,Malpighiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Acmanthera/
Acmella,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acmella/
Acmispon,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acmispon/
Acmopyle,Podocarpaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/G/Podocarpaceae/Acmopyle/
Acnida,Amaranthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Acnida/
Acnistus,Solanaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Solanaceae/Acnistus/
Acoelorrhaphe,Arecaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acoelorrhaphe/
Acokanthera,Apocynaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Acokanthera/
Acolea,Gymnomitriaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Gymnomitriaceae/Acolea/
Acome,Capparaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Capparaceae/Acome/
Acomis,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acomis/
Aconitum,Ranunculaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Ranunculaceae/Aconitum/
Aconogonum,Polygonaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Aconogonum/
Acorus,Acoraceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Acoraceae/Acorus/
Acosmium,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acosmium/
Acosta,Hypnaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Hypnaceae/Acosta/
Acostia,Poaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acostia/
Acourtia,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acourtia/
Acrachne,Poaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acrachne/
Acradenia,Rutaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Acradenia/
Acranthera,Rubiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Acranthera/
Acridocarpus,Malpighiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Acridocarpus/
Acriopsis,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acriopsis/
Acrisione,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acrisione/
Acritochaete,Poaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acritochaete/
Acritodon,Sematophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acritodon/
Acritopappus,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Acritopappus/
Acrobolbus,Acrobolbaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Acrobolbaceae/Acrobolbus/
Acrobotrys,Rubiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Acrobotrys/
Acrocarpus,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acrocarpus/
Acroceras,Poaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Acroceras/
Acrochaene,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acrochaene/
Acrochila,Plagiochilaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Plagiochilaceae/Acrochila/
Acrocladiopsis,Plagiotheciaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Plagiotheciaceae/Acrocladiopsis/
Acrocladium,Amblystegiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Amblystegiaceae/Acrocladium/
Acrocomia,Arecaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Acrocomia/
Acrocryphaea,Cryphaeaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Cryphaeaceae/Acrocryphaea/
Acrodon,Aizoaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Aizoaceae/Acrodon/
Acroglochin,Amaranthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Acroglochin/
Acrolejeunea,Lejeuneaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Acrolejeunea/
Acrolophia,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acrolophia/
Acrolophozia,Gymnomitriaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Gymnomitriaceae/Acrolophozia/
Acromastigum,Lepidoziaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Lepidoziaceae/Acromastigum/
Acronema,Apiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Acronema/
Acronychia,Rutaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Acronychia/
Acropelta,Dryopteridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Dryopteridaceae/Acropelta/
Acrophorus,Dryopteridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Dryopteridaceae/Acrophorus/
Acrophyllum,Cunoniaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cunoniaceae/Acrophyllum/
Acropogon,Malvaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Acropogon/
Acroporium,Sematophyllaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Sematophyllaceae/Acroporium/
Acropteris,Pteridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Pteridaceae/Acropteris/
Acrorchis,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Acrorchis/
Acrorumohra,Dryopteridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Dryopteridaceae/Acrorumohra/
Acrosanthes,Aizoaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Aizoaceae/Acrosanthes/
Acroschisma,Andreaeaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Andreaeaceae/Acroschisma/
Acroscyphella,Balantiopsaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Balantiopsaceae/Acroscyphella/
Acroscyphus,Balantiopsaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Balantiopsaceae/Acroscyphus/
Acrosorus,Polypodiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Polypodiaceae/Acrosorus/
Acrostemon,Ericaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Ericaceae/Acrostemon/
Acrostichum,Pteridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Pteridaceae/Acrostichum/
Acrostolia,Aneuraceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Aneuraceae/Acrostolia/
Acrosynanthus,Rubiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Acrosynanthus/
Acrotome,Lamiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acrotome/
Acrotrema,Dilleniaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Dilleniaceae/Acrotrema/
Acrotriche,Ericaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Ericaceae/Acrotriche/
Acrymia,Lamiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Acrymia/
Acsmithia,Cunoniaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cunoniaceae/Acsmithia/
Actaea,Ranunculaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Ranunculaceae/Actaea/
Actephila,Phyllanthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Phyllanthaceae/Actephila/
Actinanthella,Loranthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Loranthaceae/Actinanthella/
Actinanthus,Apiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Actinanthus/
Actinea,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Actinea/
Actinella,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Actinella/
Actinidia,Actinidiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Actinidiaceae/Actinidia/
Actiniopteris,Pteridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Pteridaceae/Actiniopteris/
Actinobole,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Actinobole/
Actinocarya,Boraginaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Boraginaceae/Actinocarya/
Actinocephalus,Eriocaulaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Eriocaulaceae/Actinocephalus/
Actinocheita,Anacardiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Anacardiaceae/Actinocheita/
Actinocladum,Poaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Actinocladum/
Actinodaphne,Lauraceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Lauraceae/Actinodaphne/
Actinodium,Myrtaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Actinodium/
Actinodontium,Daltoniaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Daltoniaceae/Actinodontium/
Actinokentia,Arecaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Actinokentia/
Actinolema,Apiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Actinolema/
Actinorhytis,Arecaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Actinorhytis/
Actinoschoenus,Cyperaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Actinoschoenus/
Actinoscirpus,Cyperaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Actinoscirpus/
Actinoseris,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Actinoseris/
Actinospermum,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Actinospermum/
Actinostachys,Schizaeaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Schizaeaceae/Actinostachys/
Actinostemma,Cucurbitaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Actinostemma/
Actinostemon,Euphorbiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Actinostemon/
Actinostrobus,Cupressaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/G/Cupressaceae/Actinostrobus/
Actinothuidium,Thuidiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Thuidiaceae/Actinothuidium/
Actinotus,Apiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Actinotus/
Acuania,Leguminosae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acuania/
Acunaeanthus,Rubiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Acunaeanthus/
Acystopteris,Cystopteridaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Cystopteridaceae/Acystopteris/
Ada,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Ada/
Adamantinia,Orchidaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Adamantinia/
Adamea,Melastomataceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Adamea/
Adansonia,Malvaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Adansonia/
Adectum,Dennstaedtiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/P/Dennstaedtiaceae/Adectum/
Adelanthus,Icacinaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Icacinaceae/Adelanthus/
Adelia,Euphorbiaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Adelia/
Adelobotrys,Melastomataceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Adelobotrys/
Adelocaryum,Boraginaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Boraginaceae/Adelocaryum/
Adelocolia,Adelanthaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Adelanthaceae/Adelocolia/
Adelostemma,Apocynaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Adelostemma/
Adelostigma,Compositae,Accepted_genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Adelostigma/
Adelothecium,Daltoniaceae,Accepted_genus,http://www.theplantlist.org/1.1/browse/B/Daltoniaceae/Adelothecium/
